,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,main_topic,Text,target_label
Doc4898,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,8,Would have been 5 stars if not for the pestering emails to write a review!,booking confusion
Doc4899,0.01,0.01,0.01,0.12,0.12,0.2,0.01,0.01,0.34,0.01,0.17,0.01,8,"I booked my fitting date online. Turned up on the day, no waiting around, fitted my tyres and off i went. I'll be booking again for my wife's car.",booking confusion
Doc4900,0.01,0.01,0.01,0.2,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.49,11,"Easy to use website, nice customer support and the fact that I have made a mistake choosing my tires, and was catched by the after sales process.",discounts
Doc4901,0.5,0.02,0.02,0.02,0.33,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good customer service when it counts. I cannot fault [REDACTED]. Thanks for the smooth service and I will be back.,value for money
Doc4902,0.02,0.38,0.02,0.02,0.25,0.02,0.02,0.02,0.02,0.02,0.02,0.22,1,Easy to search the tires I needed Great customer service Wouldn’t bother going anywhere else,garage service
Doc4903,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Faultless service with great prices,garage service
Doc4904,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.63,0.01,10,Price was better than I could get anywhere garage was amazing staff very helpful and friendly,length of fitting
Doc4905,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.14,0.3,0.01,0.01,0.36,11,"On time easy. I arrived as required, was duly greeted & the tyres were sorted - quick, easy, smooth & relatively local. Excellent.",discounts
Doc4906,0.02,0.27,0.27,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,1,"Seamless service, local fitter prompt.",garage service
Doc4907,0.01,0.33,0.01,0.01,0.21,0.34,0.01,0.01,0.01,0.01,0.01,0.01,5,Excellent customer service especially because I incorrectly ordered the wrong tyres and they helped sort everything out,delivery punctuality
Doc4908,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,7,[REDACTED] ok but fitting garage very poor,location
Doc4909,0.01,0.36,0.1,0.01,0.01,0.1,0.01,0.33,0.01,0.01,0.01,0.08,1,Best price and great service. Best price for tyres on the net. Great service from garage that fitted them(Lewis Motors).Friendly professional and easy to get to. Bus stop and pub opposite!,garage service
Doc4910,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,The service and convenience together with price were excellent!!,garage service
Doc4911,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0,"Value for money, hassle free.",value for money
Doc4912,0.01,0.48,0.01,0.01,0.14,0.01,0.01,0.14,0.16,0.01,0.01,0.01,1,"Great Service. Competitive pricing, great choice of tyres. Customer services sorted out an error, on my part, with no fuss.",garage service
Doc4913,0.01,0.34,0.01,0.01,0.25,0.01,0.01,0.01,0.01,0.01,0.01,0.34,1,"Competitive pricing. Wide range of tyre choice. Excellent customer service. I made an error on the original order, phoned customer service and they sorted my error very quickly and efficiently.",garage service
Doc4914,0.01,0.62,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,1,"Great service,great prices ,great & easy to place order",garage service
Doc4915,0.02,0.22,0.02,0.02,0.02,0.61,0.02,0.02,0.02,0.02,0.02,0.02,5,"Great deal, got the tyres at a lower rate than the national chain who fitted them were charging.",delivery punctuality
Doc4916,0.41,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.28,0,"Easy process, quick results - very good prices.",value for money
Doc4917,0.59,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0,"Ease of use, good prices. Good comms",value for money
Doc4918,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,7,Great tyres at very affordable prices.,location
Doc4919,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,Guys at Autowise we’re fantastic,value for money
Doc4920,0.01,0.01,0.01,0.01,0.01,0.46,0.01,0.42,0.01,0.01,0.01,0.01,5,Always cheaper than your local tyre shop but can be delivered TO your local tyre shop (or thereabouts),delivery punctuality
Doc4921,0.62,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Fast,efficient and accurate. Reasonable value for money",value for money
Doc4922,0.01,0.16,0.25,0.01,0.16,0.01,0.01,0.01,0.01,0.01,0.34,0.01,10,After sesrching for some tyres for my car the ease of using [REDACTED] and booking my car in was Excellent!!!,length of fitting
Doc4923,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.39,11,Website easy to use. Garage helpful and efficient. Good price.,discounts
Doc4924,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,Value and sevice,value for money
Doc4925,0.02,0.5,0.02,0.02,0.02,0.02,0.02,0.29,0.02,0.02,0.02,0.02,1,The service from [REDACTED] and the garage for fitment was great Grills motor factors glasgow,garage service
Doc4926,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,7,Good local partner for fitting and competitive pricing,location
Doc4927,0.18,0.01,0.11,0.01,0.01,0.01,0.11,0.01,0.01,0.33,0.01,0.22,9,Been using [REDACTED] for a good number of years now and I've never had any problems. Website is nice and simple to use and the prices and selection are really good. Top marks from me.,tyre quality
Doc4928,0.01,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.01,0.01,0.17,0.44,11,Easy to use plenty of different makes to choose from and you have a time to have them fitted that fits in with most people,discounts
Doc4929,0.01,0.01,0.01,0.01,0.01,0.33,0.21,0.01,0.01,0.01,0.01,0.33,5,Ordering on line was easy. The tyres were fitted very quickly. I would certainly use them again.,delivery punctuality
Doc4930,0.01,0.01,0.01,0.01,0.28,0.01,0.01,0.49,0.01,0.01,0.01,0.14,7,Great price. Easy transaction. Local garage appointment on schedule. Work carried out professionally.,location
Doc4931,0.01,0.01,0.01,0.01,0.01,0.33,0.01,0.22,0.01,0.01,0.01,0.34,11,"Easy to order, competitive price, and fitted on time. What else would you want?",discounts
Doc4932,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,10,The garage were not very helpful,length of fitting
Doc4933,0.02,0.02,0.58,0.02,0.02,0.02,0.02,0.25,0.02,0.02,0.02,0.02,2,"The tyres were competitively priced and the local fitter, G B Autos at Blackboys was very professional.",mobile fitter
Doc4934,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.53,0.02,10,Price was fantastic Garage I went to staff were first class,length of fitting
Doc4935,0.24,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.38,0.01,0.01,0.16,8,Good experience but there is room for improvement. When asking the sales team to match the price found on a different website for the same pair of tyres they couldn't do anything but 2 days later same tyre brand had a multibuy deal.,booking confusion
Doc4936,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,5,Because the garage refused to put the two new tyres I bought on the same axle leaving me with a car that was dangerous to drive.,delivery punctuality
Doc4937,0.33,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.37,11,First time with [REDACTED].com but easy and efficient service at a competitive price. Will use again.,discounts
Doc4938,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02,7,Cheapest price for the tyres I wanted .local fitting arranged,location
Doc4939,0.68,0.01,0.01,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.01,0,Best value for money and very efficient service,value for money
Doc4940,0.51,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Very good value and a great service,value for money
Doc4941,0.01,0.01,0.01,0.01,0.21,0.01,0.45,0.01,0.01,0.01,0.11,0.17,6,"Helpful customer service, quick, easy and hassle free order and fitting.",ease of booking
Doc4942,0.32,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.51,11,Good price and easy to use,discounts
Doc4943,0.03,0.03,0.03,0.36,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0.03,3,The whole process was quick & straightforward.,change of date
Doc4944,0.49,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.31,0.01,0,"The choice is good, the service is quick and the staff always friendly and happy to chat about tyres. Price is good.",value for money
Doc4945,0.02,0.02,0.02,0.02,0.02,0.39,0.02,0.02,0.02,0.02,0.44,0.02,10,"very punctual, polite and helpful and did my tyres very quickly, also put my spare tyre back where it came from and left my car very tidy",length of fitting
Doc4946,0.57,0.01,0.01,0.01,0.17,0.01,0.01,0.17,0.01,0.01,0.01,0.01,0,"Good service, good customer service, and a competitive price.",value for money
Doc4947,0.25,0.01,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.49,0.01,0.01,9,"Good service. This is third time I have used [REDACTED].com to have the tyres I wanted, fitted when I wanted at a competitive price.",tyre quality
Doc4948,0.02,0.02,0.02,0.24,0.02,0.02,0.02,0.29,0.02,0.32,0.02,0.02,9,Best process for quality tyres,tyre quality
Doc4949,0.01,0.01,0.01,0.01,0.23,0.01,0.01,0.01,0.16,0.01,0.01,0.51,11,Easy to use site and booking appointments within 2 or 3 days of order.,discounts
Doc4950,0.14,0.25,0.01,0.01,0.01,0.18,0.01,0.24,0.13,0.01,0.01,0.01,1,"Great Price poor timescale. Great Price, however had to wait 6 days for the tyres to be delivered to my selected garage due to an error. No money off or discount offered for the wait which was down to an error by [REDACTED].",garage service
Doc4951,0.02,0.29,0.02,0.02,0.02,0.25,0.27,0.02,0.02,0.02,0.02,0.02,1,Excellent. Made choosing the right tyres for my budget very simple and straightforward!,garage service
Doc4952,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.01,0.58,0.01,0.01,0.21,8,Easy to order the tyres you wanted & they arrived at the fitting station. At the fitting station I was pursued to have my tracking adjusted. I had to go back 3 times until they got my steering wheel pointing in the right direction,booking confusion
Doc4953,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,6,Cheaper than any other quote and easy arrangements for fitting,ease of booking
Doc4954,0.01,0.3,0.01,0.01,0.01,0.24,0.01,0.01,0.01,0.27,0.01,0.14,1,Very easy to place my order. Great time slots available. Excellent service from the company that fitted my tyres. The price of tyres and fitting was superb.,garage service
Doc4955,0.01,0.01,0.01,0.01,0.16,0.28,0.01,0.46,0.01,0.01,0.01,0.01,7,"I'm a fairly regular customer and on trying to purchase 2 tyres with 10% off the payable total didn't equate to 10% off so emailed the question and the answer was that the 10% discount was on the tyre, not on the tyre, valve and balance which i thought was an all inclusive price. I'm still a [REDACTED] fan but wish that the information was made clear.",location
Doc4956,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0.36,0.03,0.03,0.03,0.03,6,Price wasn’t actually the cheapest but only found out after ordering,ease of booking
Doc4957,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,11,easy to usegood choicegood prices,discounts
Doc4958,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.01,0.59,0.01,0.01,9,"Good price with a wide variety of tyres, local fitting at a time you want",tyre quality
Doc4959,0.01,0.11,0.01,0.01,0.01,0.42,0.01,0.01,0.01,0.01,0.12,0.28,5,Easy to order tyres online and pick a time and place to fit. Important for anyone living on an island. Great choice of all tyre makes.,delivery punctuality
Doc4960,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,9,Competitive price and range of good quality tyres,tyre quality
Doc4961,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,9,Mr Khan really looked after us at Tommy's Tyres,tyre quality
Doc4962,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.6,0.02,0.02,0.02,0.23,7,Easy transaction discounted prices local garage,location
Doc4963,0.01,0.2,0.01,0.11,0.13,0.01,0.01,0.01,0.25,0.25,0.01,0.01,8,"Great service. Came a day earlier than booked but that was fine with me as I had the tyres I purchased from [REDACTED].com ,I've used them twice and never had a problem definitely going to be a regular customer,",booking confusion
Doc4964,0.3,0.01,0.01,0.01,0.01,0.33,0.01,0.01,0.27,0.01,0.01,0.01,5,TIMELY AND EFFICIENT SERVICE. Arrived on time and fitted the tyres swiftly and efficiently,delivery punctuality
Doc4965,0.21,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.46,11,"Easy quick. Easy to order,great service at a good price.",discounts
Doc4966,0.19,0.35,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.15,0.01,1,Great service at a good price and late opening hours really helped me.,garage service
Doc4967,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.01,0.67,0.01,0.01,9,Spot on. Good price. Delivery spot on. Fitting no problems,tyre quality
Doc4968,0.12,0.01,0.14,0.01,0.01,0.45,0.01,0.01,0.01,0.21,0.01,0.01,5,"I will NEVER be using this thieving company again. They charged me 4 times for 2 tyres, cancelled the order and then only refunded me 3 times. I had to chase them for the refund for a week and a half after just being ignored!!! I was absolutely livid that they could take that much money from my card without my permission. Surely this is fraud??!! I’m just glad I ordered on a credit card and not from my bank or I may have been arguing about over draft charges too which I’m sure they wouldn’t have cared about.",delivery punctuality
Doc4969,0.11,0.01,0.13,0.01,0.01,0.29,0.01,0.01,0.01,0.27,0.01,0.15,5,"DO NOT USE. I would give no stars if I could. I don’t like leaving bad reviews but I will NEVER be using this thieving company again. They charged me 4 times for 2 tyres, cancelled the order and then only refunded me 3 times. I had to chase them for the refund for a week and a half after just being ignored!!! I was absolutely livid that they could take that much money from my card without my permission. Surely this is fraud??!! I’m just glad I ordered on a credit card and not from my bank or I may have been arguing about over draft charges too which I’m sure they wouldn’t have cared about.",delivery punctuality
Doc4970,0.42,0.02,0.22,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0,Local fitter and value for money.,value for money
Doc4971,0.26,0.01,0.01,0.15,0.01,0.01,0.01,0.01,0.01,0.14,0.01,0.37,11,Easy to use website. Efficient service. Up to date real time notifications.,discounts
Doc4972,0.17,0.25,0.01,0.15,0.01,0.01,0.14,0.01,0.01,0.22,0.01,0.01,1,Excellent Service. I paid extra to have my tyres changed at home which was worth it as it saved a lot of hassle. Everything was done quickly and on time so I highly recommend [REDACTED].,garage service
Doc4973,0.28,0.02,0.02,0.22,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.02,7,Prompt delivery to garage and good price,location
Doc4974,0.01,0.18,0.12,0.01,0.01,0.13,0.01,0.01,0.01,0.01,0.12,0.38,11,"Easy to order and have delivered straight to fitter - competitive prices, happy with service.",discounts
Doc4975,0.12,0.01,0.01,0.23,0.01,0.01,0.01,0.2,0.25,0.01,0.01,0.14,8,"Straight forward booking process, good choice of local garages. Was able to choose a date that suited.",booking confusion
Doc4976,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.54,0.04,0.04,0.04,0.04,7,Finds you the best deal,location
Doc4977,0.02,0.02,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.29,2,Easy to buy tyres and reasonably priced.,mobile fitter
Doc4978,0.28,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.26,7,Efficient easy & competitive prices,location
Doc4979,0.01,0.01,0.01,0.01,0.14,0.01,0.01,0.01,0.3,0.01,0.01,0.47,11,Easy to order specific tyres online and to choose a fitting station of your choice.,discounts
Doc4980,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Great Service and great prices,garage service
Doc4981,0.01,0.18,0.01,0.01,0.01,0.01,0.15,0.01,0.01,0.16,0.01,0.43,11,"Easy, simple to use and great price. Use every time.",discounts
Doc4982,0.01,0.01,0.01,0.33,0.01,0.01,0.01,0.01,0.43,0.01,0.15,0.01,8,You pick you tyres and the date for fitting and then just as usual the next day I get an email saying there is a problem and the date is not available,booking confusion
Doc4983,0.01,0.01,0.01,0.01,0.19,0.01,0.01,0.01,0.01,0.44,0.27,0.01,9,Really good. Honestly a fantastic experience. The garage (Connors Car Centre in Brentford) were brilliant.,tyre quality
Doc4984,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0,"Nice, and quick...a bit too expensive",value for money
Doc4985,0.02,0.02,0.02,0.02,0.24,0.02,0.22,0.39,0.02,0.02,0.02,0.02,7,OK on price and convenience but garage wasn't aware I was a BC customer or wanted the free brake and tracking test. Tracking was a little out but I'd had it tested at Halfords not long before so I was slightly suspicious.,location
Doc4986,0.02,0.59,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,1,Great service at Express tyres,garage service
Doc4987,0.23,0.01,0.01,0.5,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3,"Good experience and a first class fitting service by Tyre & Exhausts in Lincoln, definitely use both again shortly",change of date
Doc4988,0.01,0.01,0.51,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,2,An easy way to buy new tyres and book the fitting with the total cost given up front.,mobile fitter
Doc4989,0.02,0.42,0.02,0.22,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"Process of booking and price was excellent. However, cash back through Quidco has just been declined. Having to raise a claim, which is the reason I've reduced the star rating. Otherwise it would have been 5 stars.",garage service
Doc4990,0.01,0.01,0.01,0.01,0.16,0.01,0.01,0.57,0.01,0.01,0.01,0.16,7,Occasionally other online retailers can be cheaper. Otherwise great prices for the Michelin Pilot Sport 4s saving 10% if buying 2. I can also use the garage I like down the road.,location
Doc4991,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.27,0.02,0.02,0.02,0.02,4,I experienced poor customer service with this purchase,wait time
Doc4992,0.26,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.6,11,Good price for tyres and easy to order,discounts
Doc4993,0.01,0.32,0.01,0.01,0.01,0.3,0.27,0.01,0.01,0.01,0.01,0.01,1,"Everything was so simple, thought I would have some sort of problem being as I got such a great bargain and a third party fitting, but no it was all great, thank you.",garage service
Doc4994,0.01,0.51,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.2,1,"Great website, unbeatable prices, great fitting!",garage service
Doc4995,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,11,Easy to use website with clear pricing.,discounts
Doc4996,0.69,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,Very good service even though they were very busy.,value for money
Doc4997,0.3,0.01,0.01,0.24,0.16,0.01,0.22,0.01,0.01,0.01,0.01,0.01,0,Ease of ordering and booking a fitting date. Good prices.,value for money
Doc4998,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.69,0.03,0.03,0.03,0.03,7,Under impression that prices are cheaper.,location
Doc4999,0.02,0.43,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.41,0.02,0.02,1,"Excellent service, brilliant fitting centre.",garage service
Doc5000,0.55,0.02,0.28,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,"Friendly and professional service, recommended.",value for money
Doc5001,0.0,0.11,0.0,0.0,0.0,0.0,0.28,0.21,0.0,0.08,0.0,0.29,11,"Easy and hassle free. Easy to use website, great range of tyres, excellent price and easy to find a local tyre centre to fit them. All in all easy and hassle free.",discounts
Doc5002,0.02,0.02,0.25,0.02,0.02,0.59,0.02,0.02,0.02,0.02,0.02,0.02,5,The tyres were not delivered to the fitter but no information was given about a problem.,delivery punctuality
Doc5003,0.01,0.01,0.01,0.01,0.01,0.25,0.01,0.01,0.39,0.01,0.01,0.27,8,Easy to use and tyre fitted on time on day booked.,booking confusion
Doc5004,0.24,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.62,11,Easy to use website and good prices.,discounts
Doc5005,0.45,0.02,0.02,0.32,0.02,0.09,0.02,0.02,0.02,0.02,0.02,0.02,0,"Efficient and prompt but. Efficiently and promptly replaced 3 tyres. But left at 3 widely-differing pressures. This should definitely not happen, hence not a 5-star service.",value for money
Doc5006,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,0.02,0.02,5,I was less than impressed with the garage who fitted my tyres,delivery punctuality
Doc5007,0.01,0.01,0.01,0.2,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.54,11,The process to order tyres was easy and included the booking for fitment. The price was much better than the high street too.,discounts
Doc5008,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.02,0,"Good value, local fiting",value for money
Doc5009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,9,So much better than the regular tyre/exhaust outlets: you get what you want when you want it at a good price and quality fitting.,tyre quality
Doc5010,0.02,0.59,0.02,0.02,0.02,0.2,0.02,0.02,0.02,0.02,0.02,0.02,1,Particularly because of the great service from M & S Tyres,garage service
Doc5011,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.02,0.02,0.02,0.47,11,"It was easy to compare prices, look at options and book",discounts
Doc5012,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.6,0.11,0.01,9,"All went to plan. Everything worked perfectly, from selecting the tyres to booking the fitting and the fitting itself. I really appreciated being able to do all the arrangements online and not have to wait at the fitting centre.",tyre quality
Doc5013,0.01,0.01,0.01,0.12,0.01,0.01,0.23,0.35,0.24,0.01,0.01,0.01,7,Easy ordering process and great choice of product at a competitive prices. Booking fitting locally always goes smoothly and is done quickly and efficiently.,location
Doc5014,0.01,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,0.5,0.18,0.01,9,The process was clear and it all went as detailed. The fitting centre was of a good standard.,tyre quality
Doc5015,0.22,0.01,0.01,0.01,0.18,0.01,0.01,0.01,0.36,0.01,0.01,0.16,8,"The online site worked efficiently, broad choice of tyres and good email response to a query. Everything worked as it was supposed to which is a reassuring aspect to any service!",booking confusion
Doc5016,0.01,0.01,0.01,0.3,0.13,0.01,0.01,0.01,0.48,0.01,0.01,0.01,8,Delivery was late and fitting was changed from friday to monday. The email i recieved was a bit vague and the dates were hard to understand. This email was recieved thursday evening when fitting was meant to be friday morning thankfully i had not taken time off work.,booking confusion
Doc5017,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Very good service and good price.,value for money
Doc5018,0.21,0.33,0.01,0.01,0.01,0.01,0.17,0.01,0.21,0.01,0.01,0.01,1,"Good prices, convenient, choice of fitting providers, excellent service",garage service
Doc5019,0.01,0.37,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.16,0.01,0.35,1,Easy order through [REDACTED] and excellent fitting service from McConechy's,garage service
Doc5020,0.19,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.37,11,Very easy to use web site. Fitting company very good. a good price.,discounts
Doc5021,0.01,0.01,0.01,0.01,0.15,0.43,0.01,0.01,0.01,0.01,0.01,0.31,5,Nice quick and easy experience. Tyres fitted well no issues at all,delivery punctuality
Doc5022,0.01,0.01,0.01,0.36,0.01,0.5,0.01,0.01,0.01,0.01,0.01,0.01,5,"The reason is , I made a mistake about my fitting date and [REDACTED] sorted it out with no problem and my tyres were fitted asap as my needs.",delivery punctuality
Doc5023,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.38,0.45,0.02,0.02,0.02,8,Very impressed with the price and the fact you can get the fitting of the tyres all booked on line.,booking confusion
Doc5024,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5,0.33,0.02,0.02,8,"Pricing was wide ranging, choice of fitment was wide ranging and a choice of fitting centres!!!!!. What's not to like.",booking confusion
Doc5025,0.01,0.11,0.26,0.01,0.01,0.01,0.01,0.01,0.13,0.01,0.43,0.01,10,No issue with tyres supplied or the service received but our car had its MOT the following day and the garage found that [REDACTED] had over-tightened the wheel nuts to the point where they had to break them off and fit four new ones at a cost to us. Seeking compensation from [REDACTED] for this unnecessary cost.,length of fitting
Doc5026,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.77,0.02,0.02,0.02,0.02,7,Prices were competitive & there was a local fiter,location
Doc5027,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.35,0.01,0.01,0.01,0.52,11,Very easy to use. Choice of local garages.,discounts
Doc5028,0.35,0.49,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,Excellent service and a good price,garage service
Doc5029,0.02,0.27,0.02,0.02,0.02,0.02,0.02,0.27,0.02,0.02,0.02,0.27,1,Easy and very local service,garage service
Doc5030,0.39,0.19,0.01,0.01,0.01,0.01,0.01,0.31,0.01,0.01,0.01,0.01,0,"the best value for money, the tyre depot is only 250 yards away from where I live and I get great service",value for money
Doc5031,0.32,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,11,[REDACTED] website was very user-friendly and was the only site that was able to quote me for the unusual size tyres that I needed. They were also great value for money.,discounts
Doc5032,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0,Good price nice and easy to book,value for money
Doc5033,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.85,0.01,0.01,0.01,0.01,7,Tyres sent to local garage competitive prices,location
Doc5034,0.44,0.15,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,Great customer experience and good value for money,value for money
Doc5035,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.36,0.03,1,Prompt service with no long queues. Car was ready when they said it would be.,garage service
Doc5036,0.32,0.31,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,Good price and well managed process - excellent,value for money
Doc5037,0.32,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.26,0.15,0,"Value for money, ease of use, scheduling at my convenience, professional and friendly staff. What more could a person want?",value for money
Doc5038,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.87,0.01,0.01,0.01,0.01,7,"Best price best tyres, convenience local fitting",location
Doc5039,0.58,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,"Good service, good prices. Will definitely use again",value for money
Doc5040,0.21,0.12,0.01,0.33,0.11,0.01,0.01,0.01,0.01,0.18,0.01,0.01,3,Excellent Experience and Value.The partner tyre fitting company were very efficient / polite and knowlegeable.Would highly recommend and use again.,change of date
Doc5041,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,1,Excellent Service. Very easy to order and arrange fitment,garage service
Doc5042,0.04,0.04,0.54,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2,Very professional from office to workshop and willing to answer any questions.,mobile fitter
Doc5043,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,1,"Excellent service, great prices!",garage service
Doc5044,0.02,0.29,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5,11,Quick and easy service from start to finish.,discounts
Doc5045,0.02,0.52,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.27,0.02,1,I found no issues and the price was excellent,garage service
Doc5046,0.53,0.02,0.02,0.02,0.02,0.02,0.02,0.3,0.02,0.02,0.02,0.02,0,"competitive prices, convenience & good service",value for money
Doc5047,0.32,0.31,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.02,0.02,0,Good price great service...hassle free!,value for money
